salary,teamsal,years,games,atbats,runs,hits,doubles,triples,hruns,hispan,yrsallst,pcinc
6329213,38407380,12,1705,6705,1076,1939,320,67,231,0,9,18840
3375000,38407380,8,918,3333,407,863,156,38,73,0,2,18840
3100000,38407380,5,751,2807,370,840,148,18,46,0,0,18840
2900000,38407380,8,1056,3337,405,816,143,18,107,0,0,18840
1650000,38407380,12,1196,3603,437,928,19,16,124,0,0,18840
7.00E+05,38407380,17,2032,7489,1136,2145,270,142,40,0,2,18840
695000,38407380,4,394,1293,179,303,51,13,37,1,0,18840
275000,38407380,10,432,1005,78,240,35,5,13,0,0,18840
235000,38407380,4,223,491,37,118,16,5,1,1,0,18840
212500,38407380,3,156,434,45,116,16,0,10,0,0,18840
212500,38407380,2,169,447,41,111,18,1,14,0,0,18840
180000,38407380,2,87,278,25,70,14,3,1,1,0,18840
3400000,18297546,7,789,2872,312,758,124,15,85,1,4,15682
2.00E+06,18297546,2,45,66,7,12,1,0,1,1,0,15682
1250000,18297546,4,442,1617,230,419,69,22,35,1,0,15682
825000,18297546,6,528,1608,178,395,60,7,8,0,2,15682
750000,18297546,7,701,2088,275,610,110,11,21,0,0,15682
2.00E+05,18297546,5,478,1348,155,351,69,9,26,0,0,15682
190000,18297546,2,168,421,42,114,23,2,3,0,0,15682
138000,18297546,3,109,330,19,71,10,1,8,0,0,15682
136000,18297546,2,86,197,19,44,8,1,4,0,0,15682
125000,18297546,2,37,111,13,28,7,2,0,0,0,15682
123000,18297546,1,32,99,14,29,6,0,0,0,0,15682
123000,18297546,3,38,77,9,16,3,0,0,0,0,15682
3.00E+06,14671833,4,433,1481,207,409,79,9,58,0,1,17889
1537500,14671833,3,415,1592,234,433,62,18,21,0,0,17889
1500000,14671833,4,431,1573,230,422,78,17,24,0,0,17889
210000,14671833,2,131,361,57,100,28,3,9,0,0,17889
170000,14671833,4,145,389,22,92,19,2,4,0,0,17889
142500,14671833,2,126,274,25,64,12,3,5,0,0,17889
126500,14671833,1,45,126,17,38,4,1,2,1,0,17889
117500,14671833,2,34,83,5,15,2,0,1,0,0,17889
115000,14671833,1,37,74,7,14,5,0,3,0,0,17889
6200000,38553668,7,1046,3732,572,1040,224,37,135,0,4,19683
3375000,38553668,16,2444,9124,1343,2646,462,32,414,0,8,19683
2312500,38553668,8,1021,4042,648,1071,124,62,18,0,2,19683
2300000,38553668,10,1328,5132,675,1465,251,70,48,1,4,19683
2150000,38553668,11,1279,4309,672,1092,225,17,204,0,2,19683
650000,38553668,9,930,2935,384,817,131,29,37,0,0,19683
635000,38553668,10,411,1004,133,251,30,6,12,0,0,19683
5.00E+05,38553668,7,339,889,87,182,48,3,12,0,0,19683
475000,38553668,6,533,1555,199,422,70,8,8,0,0,19683
195000,38553668,3,180,485,45,97,23,1,8,0,0,19683
109000,38553668,1,30,108,15,24,7,1,3,0,0,19683
2466667,27037334,8,931,3219,533,916,190,28,52,0,1,18431
2450000,27037334,7,930,2946,434,875,142,29,79,0,2,18431
2416667,27037334,9,706,2114,263,492,105,9,75,0,1,18431
2.00E+06,27037334,7,788,2830,368,722,123,27,53,1,0,18431
1375000,27037334,9,980,2982,398,838,124,35,37,0,0,18431
1050000,27037334,7,904,3135,402,772,154,15,146,0,0,18431
1.00E+06,27037334,5,500,1697,207,477,98,7,41,0,0,18431
6.00E+05,27037334,9,698,2144,251,594,121,23,25,0,0,18431
6.00E+05,27037334,3,284,851,136,224,38,6,38,0,0,18431
3.00E+05,27037334,3,250,826,94,212,23,12,5,0,0,18431
250000,27037334,3,195,704,86,176,37,3,24,0,0,18431
150000,27037334,4,159,362,41,66,12,3,2,1,0,18431
122500,27037334,2,54,163,11,34,4,0,1,0,0,18431
4950000,22987668,10,1390,4737,720,1308,251,82,144,0,2,20207
2600000,22987668,7,669,2444,349,627,125,26,39,0,0,20207
2350000,22987668,9,736,2134,166,574,97,5,16,0,0,20207
1066667,22987668,11,1004,3071,320,859,193,26,59,0,0,20207
1.00E+06,22987668,15,1475,4888,853,1414,264,54,90,0,1,20207
675000,22987668,4,365,1175,149,270,52,7,37,0,0,20207
675000,22987668,6,431,931,120,232,39,2,29,0,0,20207
360000,22987668,10,952,2367,215,578,114,19,26,0,0,20207
305000,22987668,3,279,840,136,218,46,7,16,1,0,20207
120000,22987668,3,38,67,7,16,1,2,0,1,0,20207
112000,22987668,2,92,229,26,58,13,0,0,0,0,20207
109000,22987668,1,12,12,1,2,0,1,0,0,0,20207
109000,22987668,1,10,7,2,4,0,0,0,0,0,20207
3897184,23387518,15,2208,8087,1079,2108,347,57,22,0,12,18595
2650000,23387518,6,617,2317,312,644,132,12,52,0,0,18595
2575000,23387518,6,508,1487,119,379,77,8,13,0,1,18595
2050000,23387518,9,1001,2780,288,726,94,19,12,1,0,18595
1025000,23387518,4,453,1581,196,413,82,11,34,0,0,18595
966667,23387518,10,972,2890,346,761,134,11,52,0,0,18595
508333,23387518,3,297,1003,131,252,38,12,20,0,0,18595
290000,23387518,3,343,1290,182,353,73,22,32,0,0,18595
225000,23387518,3,174,418,46,101,20,2,22,1,0,18595
175000,23387518,3,230,716,95,193,31,8,13,0,0,18595
170000,23387518,3,184,433,74,118,22,4,12,1,0,18595
160000,23387518,3,234,630,51,141,22,15,3,1,0,18595
3700000,37792000,6,701,2586,402,670,131,23,111,0,1,15559
2815000,37792000,10,869,1996,381,513,53,10,6,0,0,15559
2250000,37792000,9,1240,4659,596,1274,228,33,87,0,1,15559
2.00E+06,37792000,6,578,1769,237,464,90,15,49,0,0,15559
1775000,37792000,4,396,1370,228,369,70,8,71,0,0,15559
1600000,37792000,10,925,2770,311,726,172,11,81,0,0,15559
1.00E+06,37792000,4,222,593,101,145,11,18,17,0,0,15559
975000,37792000,6,379,1191,98,281,60,2,28,0,0,15559
925000,37792000,4,331,1013,109,250,51,3,16,0,1,15559
8.00E+05,37792000,11,777,1689,171,377,31,12,1,1,0,15559
675000,37792000,7,562,1353,195,336,65,10,20,0,0,15559
550000,37792000,5,423,1048,108,237,37,7,10,0,0,15559
205000,37792000,2,199,509,66,125,29,3,26,0,0,15559
181500,37792000,4,126,268,24,69,14,1,13,1,0,15559
5700000,42668168,7,835,3122,478,924,150,30,70,0,4,17998
3900000,42668168,6,636,2091,378,626,103,22,20,0,1,17998
3750000,42668168,8,900,3109,469,859,162,20,171,0,2,17998
3133333,42668168,6,638,2277,320,637,110,12,56,0,1,17998
3100000,42668168,5,616,2335,342,637,153,11,80,0,3,17998
1275000,42668168,5,388,1220,166,371,76,7,27,0,0,17998
1200000,42668168,4,407,1269,110,314,67,1,32,0,0,17998
7.00E+05,42668168,10,1310,5146,718,1338,243,85,128,1,3,17998
475000,42668168,6,554,1755,258,450,86,9,62,0,0,17998
4.00E+05,42668168,5,355,557,71,135,28,7,8,0,0,17998
2.00E+05,42668168,2,125,425,68,112,26,6,13,0,0,17998
120000,42668168,1,34,51,6,14,4,0,0,1,0,17998
1200000,8854000,5,530,1845,168,461,77,4,48,0,0,18365
725000,8854000,5,424,1365,144,347,69,6,38,0,0,18365
690000,8854000,5,340,1022,88,242,45,7,28,0,0,18365
670000,8854000,4,304,893,73,234,39,3,3,0,0,18365
6.00E+05,8854000,8,942,3407,432,909,182,16,116,1,1,18365
550000,8854000,9,882,2261,321,565,114,21,65,0,0,18365
350000,8854000,3,290,916,145,259,26,14,0,0,0,18365
310000,8854000,6,605,1755,249,432,55,17,3,0,0,18365
225000,8854000,17,2154,7918,196,2105,349,39,398,0,7,18365
167500,8854000,2,98,236,25,58,11,1,1,1,0,18365
120000,8854000,2,21,21,2,5,1,0,0,1,0,18365
3150000,28970500,6,694,2492,271,639,121,11,44,0,0,17707
3050000,28970500,5,645,2280,306,624,106,12,30,0,2,17707
2900000,28970500,4,544,1884,249,520,78,29,18,0,0,17707
775000,28970500,6,641,1743,175,435,75,20,9,0,0,17707
655000,28970500,2,318,1140,166,323,60,10,33,0,0,17707
5.00E+05,28970500,11,1267,4112,509,1108,203,39,104,0,1,17707
5.00E+05,28970500,7,779,2665,283,694,122,19,72,0,0,17707
4.00E+05,28970500,9,993,3011,303,725,98,34,19,1,0,17707
350000,28970500,4,285,858,89,180,31,1,34,0,0,17707
325000,28970500,3,271,881,92,218,49,12,23,1,0,17707
162500,28970500,2,130,363,28,82,17,1,5,0,0,17707
156500,28970500,2,93,242,12,55,12,0,0,0,0,17707
135000,28970500,3,145,479,42,99,26,4,11,1,0,17707
130000,28970500,2,82,210,15,41,6,0,0,0,0,17707
3800000,36217500,10,1291,4564,768,1196,217,34,285,0,8,14731
3362500,36217500,13,1767,6529,737,1694,360,31,204,0,5,14731
3333333,36217500,12,1678,6169,1048,1777,216,99,44,0,1,14731
2500000,36217500,6,715,2658,361,743,180,7,17,0,0,14731
1500000,36217500,7,852,2987,360,729,139,12,132,0,0,14731
1.00E+06,36217500,9,932,3124,575,828,127,19,182,0,2,14731
970000,36217500,6,477,106,135,313,56,5,8,0,1,14731
9.00E+05,36217500,5,548,1585,191,443,54,6,8,0,0,14731
6.00E+05,36217500,10,1041,3107,456,825,139,52,63,0,0,14731
435000,36217500,2,163,559,63,141,31,1,20,0,0,14731
3.00E+05,36217500,3,230,705,84,170,22,8,2,1,0,14731
175000,36217500,3,94,207,14,52,6,0,3,1,0,14731
126000,36217500,1,21,69,5,16,3,0,1,0,0,14731
4250000,24557332,7,883,3003,511,839,148,13,191,0,1,22164
4083333,24557332,11,1463,5701,842,1864,278,78,59,0,8,22164
3110000,24557332,5,440,1667,225,471,95,6,54,0,1,22164
1750000,24557332,7,873,2866,339,716,141,28,32,0,1,22164
762500,24557332,10,977,2912,389,739,174,10,79,0,0,22164
3.00E+05,24557332,13,1441,4373,398,1131,198,12,68,0,2,22164
245000,24557332,3,175,512,74,137,27,1,18,0,0,22164
165000,24557332,2,79,189,28,43,6,3,2,0,0,22164
149000,24557332,5,131,265,22,64,11,0,1,0,0,22164
109000,24557332,1,15,23,1,7,0,0,1,1,0,22164
4750000,34136500,7,1028,3778,605,1139,222,35,162,0,5,26414
4416667,34136500,7,1010,3584,672,984,220,36,176,0,2,26414
2312500,34136500,11,1462,5669,773,1689,257,83,57,0,4,26414
2250000,34136500,6,682,2428,293,586,97,16,121,0,1,26414
1900000,34136500,7,983,3426,487,883,174,34,85,0,1,26414
1100000,34136500,7,836,2555,329,688,99,37,39,1,0,26414
735000,34136500,6,315,863,66,199,30,8,5,0,0,26414
5.00E+05,34136500,6,722,2341,257,593,115,14,50,0,0,26414
325000,34136500,9,540,1425,103,332,63,6,13,0,0,26414
3.00E+05,34136500,6,373,932,107,240,37,1,31,0,0,26414
172500,34136500,3,197,577,83,137,13,4,2,0,0,26414
155000,34136500,2,107,347,31,75,8,4,4,0,0,26414
5359973,26958972,12,1800,6942,1043,1922,369,34,273,0,10,17896
3800000,26958972,9,985,3606,502,945,174,13,189,0,2,17896
3025000,26958972,6,584,2116,272,547,92,25,63,0,0,17896
1855000,26958972,5,549,1704,239,406,70,21,31,0,1,17896
1650000,26958972,10,1155,4090,543,1063,200,48,17,0,2,17896
1100000,26958972,13,1844,6744,865,1930,334,46,241,0,5,17896
350000,26958972,4,232,723,92,181,29,1,32,0,0,17896
312500,26958972,3,267,898,105,224,41,2,33,1,0,17896
3.00E+05,26958972,7,402,1122,163,257,37,8,5,0,0,17896
237500,26958972,3,241,524,50,133,23,0,5,0,0,17896
197500,26958972,2,150,414,58,111,22,2,18,1,0,17896
120000,26958972,2,42,104,17,18,4,0,0,1,0,17896
4875000,37226584,17,2310,8890,1259,2504,444,94,399,0,8,23180
3325000,37226584,8,831,2980,418,912,167,26,84,0,2,23180
3.00E+06,37226584,9,842,3073,444,851,190,23,103,0,1,23180
2200000,37226584,13,1624,5550,584,1481,256,26,95,1,1,23180
1075000,37226584,7,638,1940,209,452,100,9,24,1,0,23180
750000,37226584,9,1004,3521,474,926,171,25,42,0,0,23180
7.00E+05,37226584,8,595,1746,159,410,78,6,31,0,0,23180
675000,37226584,12,1361,4411,557,1155,193,31,25,0,0,23180
4.00E+05,37226584,8,825,2361,294,610,84,20,43,0,0,23180
340000,37226584,4,337,1073,132,306,54,1,18,1,0,23180
270000,37226584,2,187,574,63,140,28,2,17,0,0,23180
240000,37226584,3,139,373,40,109,25,2,5,0,0,23180
222000,37226584,2,142,417,49,112,19,1,4,0,0,23180
2.00E+05,37226584,3,116,326,23,72,15,0,5,0,0,23180
135000,37226584,1,58,185,21,51,13,0,5,0,0,23180
1600000,15589667,4,347,1287,164,335,62,7,70,0,0,18774
1300000,15589667,5,280,948,93,248,52,2,12,0,3,18774
1200000,15589667,3,427,1562,218,457,77,5,38,1,1,18774
975000,15589667,4,277,902,118,221,35,6,39,0,0,18774
950000,15589667,6,578,1692,169,431,42,9,1,1,0,18774
750000,15589667,9,564,1441,119,329,62,3,17,0,0,18774
5.00E+05,15589667,5,359,1162,112,308,52,6,19,1,0,18774
425000,15589667,2,168,650,105,179,16,8,5,0,0,18774
4.00E+05,15589667,7,517,1523,142,387,61,5,7,1,0,18774
350000,15589667,4,221,647,71,165,30,2,27,0,0,18774
335000,15589667,11,625,1569,120,408,56,4,5,1,0,18774
325000,15589667,3,248,686,71,182,29,5,6,0,0,18774
3.00E+05,15589667,6,555,1764,199,495,84,12,26,0,0,18774
142500,15589667,2,55,197,19,51,9,2,4,0,0,18774
4200000,35948168,7,696,2297,353,590,91,3,161,0,2,17061
3866667,35948168,11,1292,4331,652,1120,190,37,68,0,0,17061
3433333,35948168,16,2095,7616,1211,2088,353,62,209,0,5,17061
3333333,35948168,9,932,2873,416,693,121,8,137,0,1,17061
2066667,35948168,9,1002,3365,503,746,128,12,205,0,0,17061
1400000,35948168,16,1965,7179,1077,2050,356,51,162,0,6,17061
1150000,35948168,10,1106,4145,611,1120,187,38,61,0,0,17061
650000,35948168,3,379,1448,184,388,78,8,50,0,1,17061
5.00E+05,35948168,14,1351,4838,815,1298,216,44,210,0,0,17061
425000,35948168,6,325,678,96,166,23,4,2,0,0,17061
275000,35948168,3,262,817,124,205,29,9,6,0,0,17061
250000,35948168,7,245,433,67,108,22,3,11,0,0,17061
240000,35948168,5,195,425,43,87,15,1,8,0,0,17061
230000,35948168,2,161,481,62,137,26,0,6,0,0,17061
2700000,22840832,19,2729,10554,1570,3025,558,123,243,0,3,17589
2500000,22840832,6,797,2783,314,745,119,16,32,0,0,17589
1640000,22840832,4,444,1538,227,360,71,9,72,0,0,17589
1333333,22840832,11,1425,5071,720,1353,216,39,84,0,0,17589
1100000,22840832,12,1656,5860,760,1454,287,29,255,0,1,17589
1.00E+06,22840832,4,383,1134,172,331,43,13,8,0,0,17589
750000,22840832,4,371,1138,161,298,398,12,14,0,0,17589
725000,22840832,5,363,1018,109,267,63,3,39,0,0,17589
350000,22840832,1,149,579,93,168,19,6,1,0,0,17589
250000,22840832,14,1302,4204,473,1110,183,41,70,0,1,17589
120000,22840832,1,51,164,15,38,8,0,4,0,0,17589
118000,22840832,1,47,133,17,30,3,1,2,0,0,17589
110000,22840832,1,22,9,5,1,0,0,0,1,0,17589
5050000,41033000,9,946,3340,507,950,193,16,177,0,1,19683
3833333,41033000,8,799,2618,321,679,147,7,96,0,1,19683
3820000,41033000,11,1426,5643,808,1754,363,15,192,0,6,19683
2900000,41033000,11,1625,6213,1067,2098,422,47,85,0,8,19683
2500000,41033000,8,762,2379,269,610,83,4,117,0,1,19683
2250000,41033000,10,1277,4110,499,1000,173,52,40,0,0,19683
1575000,41033000,8,782,1916,243,448,70,10,26,0,0,19683
1050000,41033000,6,385,1062,128,263,51,6,20,0,0,19683
350000,41033000,8,711,2144,277,605,115,18,23,0,0,19683
325000,41033000,7,520,1160,138,291,50,4,24,0,0,19683
255000,41033000,3,325,1040,146,245,35,1,55,0,0,19683
160000,41033000,2,202,616,73,144,34,6,10,0,0,19683
152000,41033000,3,187,524,53,129,22,1,12,0,0,19683
150000,41033000,2,147,581,82,149,33,6,8,0,0,19683
5500000,42866000,10,1344,5201,727,1370,264,34,242,0,2,23642
4833333,42866000,5,761,2962,439,862,146,31,39,0,3,23642
3583333,42866000,8,921,3514,545,891,157,41,93,0,1,23642
3500000,42866000,15,1856,7520,1275,2281,405,86,160,0,5,23642
2100000,42866000,7,517,1433,181,361,57,9,51,0,0,23642
1487500,42866000,4,394,1278,177,344,73,2,47,0,0,23642
8.00E+05,42866000,10,1203,3818,452,875,122,29,52,0,0,23642
5.00E+05,42866000,10,761,2394,278,592,119,12,63,0,0,23642
5.00E+05,42866000,17,1916,6685,744,1668,242,78,24,1,1,23642
290000,42866000,3,252,812,89,212,29,4,11,1,0,23642
182500,42866000,2,83,207,23,55,9,0,5,0,0,23642
115000,42866000,2,26,34,3,6,1,2,0,0,0,23642
112500,42866000,2,11,20,1,5,0,0,1,0,0,23642
109000,42866000,1,7,8,2,5,0,0,1,1,0,23642
4333333,27705332,9,921,3094,421,800,145,24,114,0,2,14731
3.00E+06,27705332,12,1643,6031,745,1523,287,28,231,0,2,14731
2475000,27705332,6,753,2740,426,818,96,41,13,1,0,14731
1750000,27705332,12,1590,5698,79,1538,275,28,197,0,2,14731
6.00E+05,27705332,8,482,1069,125,249,36,3,13,1,0,14731
6.00E+05,27705332,8,758,1798,250,442,67,17,10,1,0,14731
525000,27705332,5,248,690,63,164,38,1,14,0,0,14731
450000,27705332,4,370,1192,176,308,52,7,12,0,0,14731
265000,27705332,4,195,632,91,148,22,1,3,0,0,14731
220000,27705332,1,139,441,59,114,16,2,10,0,0,14731
160000,27705332,4,119,306,30,62,13,0,3,0,0,14731
115000,27705332,1,23,79,8,14,1,0,2,0,0,14731
112500,27705332,1,47,151,14,39,5,0,1,0,0,14731
110000,27705332,1,7,14,1,2,1,0,0,0,0,14731
109000,27705332,3,63,159,10,27,5,1,2,0,0,14731
3650000,35228168,11,1485,5713,778,1613,291,32,252,1,3,18840
3500000,35228168,14,1704,6465,1138,1923,315,96,108,0,7,18840
2266667,35228168,6,583,2059,258,563,61,38,4,0,0,18840
2.00E+06,35228168,8,1095,3841,432,1021,143,42,10,1,3,18840
1975000,35228168,12,1705,6797,891,1915,273,46,53,0,5,18840
1750000,35228168,8,816,2421,317,597,117,14,110,0,0,18840
1700000,35228168,4,480,1736,230,470,83,3,44,0,1,18840
1016667,35228168,7,459,1171,145,265,55,3,36,0,0,18840
910000,35228168,6,534,1908,286,476,70,14,112,0,1,18840
9.00E+05,35228168,3,378,1323,251,426,88,7,63,0,0,18840
632500,35228168,3,254,630,68,160,40,6,10,0,0,18840
5.00E+05,35228168,6,722,2794,440,785,160,27,93,0,1,18840
285000,35228168,5,308,710,104,175,20,6,0,0,0,18840
4400000,39776560,7,995,3780,521,1079,206,13,123,0,0,18407
3666667,39776560,10,1341,4892,660,1307,251,29,196,0,0,18407
3666667,39776560,10,1140,3386,452,844,183,35,69,0,0,18407
3100000,39776560,20,2562,9789,1514,3005,634,134,298,0,13,18407
2400000,39776560,6,779,2816,292,717,111,23,8,1,0,18407
1525000,39776560,5,439,1566,190,449,81,10,33,1,1,18407
1175000,39776560,6,484,1456,160,365,92,9,42,0,0,18407
1090000,39776560,2,55,58,4,11,4,0,0,0,0,18407
460000,39776560,6,290,475,58,124,15,5,11,0,0,18407
4.00E+05,39776560,10,960,2424,271,596,78,23,8,0,0,18407
378500,39776560,3,347,1330,170,331,59,17,17,0,0,18407
250000,39776560,13,1536,5745,637,1546,276,31,147,0,2,18407
225000,39776560,3,172,457,40,109,18,0,3,0,0,18407
115000,39776560,2,22,38,6,10,2,0,3,0,0,18407
5200000,27396932,9,1382,5645,820,1812,304,51,142,0,7,19592
3100000,27396932,12,1543,5526,809,1580,290,17,258,0,1,19592
3050000,27396932,5,585,1712,271,514,82,21,46,0,0,19592
2700000,27396932,19,2707,10047,1551,2866,493,83,432,0,12,19592
2400000,27396932,13,788,2363,264,697,145,6,47,0,0,19592
6.00E+05,27396932,6,702,2177,258,580,124,11,31,0,0,19592
5.00E+05,27396932,2,306,1165,182,337,43,12,3,0,1,19592
4.00E+05,27396932,9,1044,3290,380,774,165,14,121,0,0,19592
275000,27396932,3,252,633,89,165,26,4,8,0,0,19592
253600,27396932,3,200,641,72,175,27,5,19,1,0,19592
250000,27396932,11,1184,3000,387,756,152,26,92,0,0,19592
172000,27396932,4,87,178,21,51,14,1,4,0,0,19592
4200000,35714832,7,1060,4144,588,1160,230,44,156,1,1,24870
4.00E+06,35714832,7,916,3123,504,772,128,5,220,0,6,24870
3250000,35714832,14,1859,6879,1472,2000,329,54,199,0,10,24870
2800000,35714832,7,733,2484,278,675,114,9,61,0,2,24870
2600000,35714832,12,1375,4550,646,1191,253,16,172,0,1,24870
627500,35714832,5,367,798,133,185,40,2,7,0,0,24870
625000,35714832,7,728,2417,341,657,101,21,17,0,0,24870
6.00E+05,35714832,7,889,3289,482,955,163,25,38,0,1,24870
4.00E+05,35714832,3,269,753,83,208,24,5,3,0,0,24870
120000,35714832,1,24,53,8,14,3,0,3,0,0,24870
4.00E+06,31580834,4,578,2165,311,652,132,12,87,0,3,17922
3016667,31580834,6,521,1805,295,561,122,8,45,1,1,17922
2772500,31580834,6,490,1599,212,393,72,9,81,0,0,17922
2187500,31580834,11,1495,5227,624,1367,247,21,162,0,0,17922
1866667,31580834,9,711,2079,231,479,85,10,59,0,0,17922
1112500,31580834,4,502,1551,155,388,46,13,4,1,0,17922
9.00E+05,31580834,9,776,1938,271,509,79,9,39,1,0,17922
850000,31580834,8,732,1803,277,464,50,25,13,0,0,17922
475000,31580834,6,434,971,84,272,58,5,15,0,0,17922
287500,31580834,3,196,640,68,156,25,2,20,1,0,17922
2.00E+05,31580834,4,291,614,51,141,26,5,10,0,0,17922
150000,31580834,13,1092,3216,480,889,138,19,10,0,0,17922
4800000,35586456,8,972,3655,614,974,171,8,235,1,5,15020
4550000,35586456,7,886,3270,463,968,194,23,95,1,2,15020
2937500,35586456,11,1402,5416,807,1630,249,40,86,1,3,15020
1900000,35586456,8,753,2152,231,547,67,17,16,1,0,15020
650000,35586456,11,750,1741,168,469,78,9,23,0,0,15020
525000,35586456,4,346,1279,172,331,68,4,75,1,0,15020
5.00E+05,35586456,11,1064,3258,561,813,170,47,84,0,0,15020
450000,35586456,5,443,1070,133,257,37,9,3,0,0,15020
312000,35586456,5,439,1098,150,260,41,8,6,0,0,15020
275000,35586456,2,211,700,63,183,32,1,11,1,0,15020
250000,35586456,3,249,828,112,176,36,2,41,0,0,15020
2.00E+05,35586456,6,667,2087,217,510,92,5,13,0,0,15020
109000,35586456,1,12,24,1,4,0,0,0,0,0,15020
